user,item
11,3735
11,497
11,1962
11,953
11,45950
11,223
11,41527
11,89745
11,49649
11,7395
14,16
14,53189
14,1198
14,47997
14,1211
14,5963
14,1831
14,412
14,1228
14,5952
18,1956
18,4235
18,296
18,7324
18,4226
18,2746
18,4306
18,59501
18,1258
18,46578
25,1270
25,1073
25,2289
25,56171
25,2762
25,7153
25,8695
25,1
25,87430
25,2094
31,7156
31,89118
31,62081
31,2968
31,26163
31,288
31,72605
31,6377
31,89745
31,6541
35,2959
35,5952
35,4306
35,50872
35,27846
35,648
35,2762
35,3317
35,32
35,1
43,4973
43,4270
43,1197
43,27846
43,4993
43,1210
43,7153
43,4705
43,5952
43,1196
50,4993
50,527
50,4226
50,48774
50,930
50,5747
50,110
50,61075
50,2028
50,2141
58,4990
58,8961
58,2762
58,994
58,2026
58,608
58,3152
58,3723
58,2087
58,593
60,4973
60,2571
60,1010
60,5618
60,8580
60,4226
60,2245
60,1211
60,2762
60,2114
61,2959
61,2571
61,8633
61,1080
61,27846
61,2762
61,6502
61,61075
61,2987
61,608
65,2571
65,4878
65,2858
65,1147
65,527
65,6016
65,32
65,2762
65,6502
65,6197
72,48322
72,318
72,608
72,7324
72,61075
72,60074
72,1198
72,2762
72,1586
72,102125
77,1196
77,1136
77,59784
77,5504
77,2571
77,296
77,4993
77,58559
77,1210
77,593
82,5847
82,64701
82,78209
82,2321
82,6327
82,2028
82,34162
82,2571
82,5747
82,17
85,6331
85,555
85,1197
85,1147
85,54881
85,2968
85,260
85,1196
85,62511
85,6985
90,4896
90,780
90,2571
90,1270
90,589
90,110
90,2959
90,2141
90,44191
90,5952
91,1747
91,2987
91,39
91,2023
91,497
91,8529
91,40732
91,49530
91,6863
91,1610
96,2707
96,61075
96,2245
96,111759
96,778
96,6329
96,1136
96,4159
96,36525
96,56788
98,260
98,4993
98,7153
98,2959
98,593
98,4226
98,4878
98,2858
98,318
98,1687
99,64701
99,2571
99,4226
99,61075
99,48516
99,32
99,1147
99,1221
99,2968
99,6016
102,58559
102,1197
102,1198
102,593
102,45950
102,1291
102,61075
102,1210
102,7153
102,2858
116,4002
116,45720
116,8808
116,4278
116,3033
116,593
116,4226
116,1240
116,5152
116,4018
121,1230
121,318
121,2968
121,8958
121,2571
121,97752
121,48516
121,1136
121,34162
121,7502
124,2490
124,40583
124,1610
124,377
124,7235
124,68205
124,2355
124,1273
124,102125
124,2396
129,2959
129,4262
129,356
129,4878
129,4025
129,4406
129,59369
129,1927
129,2245
129,7361
132,2289
132,45950
132,72226
132,7456
132,6874
132,2571
132,55995
132,1961
132,34332
132,49649
133,5747
133,4306
133,608
133,5618
133,2094
133,1960
133,6016
133,2005
133,6889
133,5989
135,364
135,4270
135,1196
135,5995
135,1291
135,1270
135,51077
