user,item
11,3735
11,497
11,1962
11,953
11,45950
11,70286
11,68954
11,55820
11,72998
11,79132
14,16
14,53189
14,1198
14,47997
14,1211
14,1035
14,1028
14,914
14,3255
14,2080
18,1956
18,4235
18,296
18,7324
18,4226
18,55555
18,55814
18,63082
18,56389
18,63808
25,1270
25,1073
25,2289
25,56171
25,2762
25,1206
25,1213
25,1220
25,541
25,1208
31,7156
31,89118
31,62081
31,2968
31,26163
31,79139
31,6624
31,6383
31,70336
31,60937
35,2959
35,5952
35,4306
35,50872
35,27846
35,44191
35,45720
35,47610
35,46976
35,27706
43,4973
43,4270
43,1197
43,27846
43,4993
43,4993
43,4896
43,1197
43,7153
43,17
50,4993
50,527
50,4226
50,48774
50,930
50,1732
50,778
50,111
50,4027
50,293
58,4990
58,8961
58,2762
58,994
58,2026
58,6787
58,3735
58,3451
58,3148
58,608
60,4973
60,2571
60,1010
60,5618
60,8580
60,54259
60,50872
60,48394
60,7147
60,30793
61,2959
61,2571
61,8633
61,1080
61,27846
61,32587
61,33166
61,44195
61,56367
61,30810
65,2571
65,4878
65,2858
65,1147
65,527
65,63876
65,56367
65,31658
65,7323
65,55442
72,48322
72,318
72,608
72,7324
72,61075
72,1380
72,3176
72,1183
72,1732
72,3147
77,1196
77,1136
77,59784
77,5504
77,2571
77,1136
77,296
77,1196
77,318
77,2571
82,5847
82,64701
82,78209
82,2321
82,6327
82,88129
82,99114
82,91529
82,98961
82,94959
85,6331
85,555
85,1197
85,1147
85,54881
85,1197
85,318
85,953
85,898
85,68954
90,4896
90,780
90,2571
90,1270
90,589
90,2918
90,1704
90,4993
90,1923
90,4027
91,1747
91,2987
91,39
91,2023
91,497
91,33166
91,46578
91,39183
91,8966
91,33794
96,2707
96,61075
96,2245
96,111759
96,778
96,91542
96,1704
96,76251
96,223
96,1968
98,260
98,4993
98,7153
98,2959
98,593
98,4993
98,99114
98,7153
98,6539
98,5618
99,64701
99,2571
99,4226
99,61075
99,48516
99,1089
99,4226
99,2571
99,50
99,79132
102,58559
102,1197
102,1198
102,593
102,45950
102,1197
102,908
102,912
102,899
102,919
116,4002
116,45720
116,8808
116,4278
116,3033
116,5283
116,6548
116,8860
116,31420
116,2383
121,1230
121,318
121,2968
121,8958
121,2571
121,63131
121,2502
121,61132
121,67087
121,5110
124,2490
124,40583
124,1610
124,377
124,7235
124,33794
124,6016
124,4776
124,8529
124,36529
129,2959
129,4262
129,356
129,4878
129,4025
129,80549
129,57274
129,85788
129,71535
129,80693
132,2289
132,45950
132,72226
132,7456
132,6874
132,32587
132,2987
132,6874
132,1198
132,46578
133,5747
133,4306
133,608
133,5618
133,2094
133,63876
133,63082
133,46578
133,71579
133,72720
135,364
135,4270
135,1196
135,5995
135,1291
135,3512
