user,item
11,70286
11,68954
11,55820
11,72998
11,79132
11,68237
11,68358
11,54286
11,63082
11,56367
14,1035
14,1028
14,914
14,3255
14,2080
14,1907
14,4857
14,2565
14,4447
14,4025
18,55555
18,55814
18,63082
18,56389
18,63808
18,72386
18,64622
18,63876
18,65130
18,50912
25,1206
25,1213
25,1220
25,541
25,1208
25,1222
25,1225
25,2329
25,46578
25,923
31,79139
31,6624
31,6383
31,70336
31,60937
31,7454
31,46335
31,1917
31,51939
31,67867
35,44191
35,45720
35,47610
35,46976
35,27706
35,33794
35,41571
35,33679
35,53121
35,31685
43,4993
43,4896
43,1197
43,7153
43,17
43,5952
43,4995
43,8961
43,40815
43,8368
50,1732
50,778
50,111
50,4027
50,293
50,1258
50,1225
50,3147
50,1219
50,2324
58,6787
58,3735
58,3451
58,3148
58,608
58,4855
58,4465
58,2871
58,3952
58,37741
60,54259
60,50872
60,48394
60,7147
60,30793
60,50601
60,46578
60,60069
60,44191
60,31658
61,32587
61,33166
61,44195
61,56367
61,30810
61,2959
61,27904
61,8464
61,44761
61,38061
65,63876
65,56367
65,31658
65,7323
65,55442
65,8873
65,55814
65,7147
65,55247
65,27815
72,1380
72,3176
72,1183
72,1732
72,3147
72,1304
72,509
72,1219
72,920
72,2657
77,1136
77,296
77,1196
77,318
77,2571
77,4993
77,593
77,1197
77,4973
77,31658
82,88129
82,99114
82,91529
82,98961
82,94959
82,106100
82,106782
82,97921
82,89492
82,82459
85,1197
85,318
85,953
85,898
85,68954
85,28
85,81845
85,912
85,908
85,4973
90,2918
90,1704
90,4993
90,1923
90,4027
90,1527
90,5349
90,6539
90,5952
90,4963
91,33166
91,46578
91,39183
91,8966
91,33794
91,44191
91,8784
91,8983
91,37741
91,8645
96,91542
96,1704
96,76251
96,223
96,1968
96,2918
96,79702
96,1089
96,1213
96,56367
98,4993
98,99114
98,7153
98,6539
98,5618
98,48394
98,44191
98,1197
98,318
98,98809
99,1089
99,4226
99,2571
99,50
99,79132
99,541
99,5618
99,6016
99,6874
99,1213
102,1197
102,908
102,912
102,899
102,919
102,1234
102,898
102,2918
102,593
102,1204
116,5283
116,6548
116,8860
116,31420
116,2383
116,8972
116,3439
116,6059
116,8807
116,31685
121,63131
121,2502
121,61132
121,67087
121,5110
121,51255
121,34162
121,8528
121,56367
121,52245
124,33794
124,6016
124,4776
124,8529
124,36529
124,8798
124,5218
124,8984
124,33660
124,47610
129,80549
129,57274
129,85788
129,71535
129,80693
129,86833
129,82041
129,72393
129,74458
129,93840
132,32587
132,2987
132,6874
132,1198
132,46578
132,8622
132,47
132,260
132,44191
132,2700
133,63876
133,63082
133,46578
133,71579
133,72720
133,55814
133,65130
133,64575
133,53123
133,39183
135,3512
135,4025
135,2125
135,7444
135,31685
135,7395
135,4447
135,4069
135,3255
135,7293
136,98809
136,91542
136,2571
136,109374
136,5618
136,76093
136,95510
136,79702
136,7153
136,1136
147,2947
147,2005
147,1129
147,2949
147,3256
147,2948
147,3396
147,2278
147,2109
147,3984
152,4027
152,1291
152,3793
152,7153
152,5952
152,1265
152,1197
152,1136
152,1196
152,586
154,46578
154,46976
154,47610
154,51255
154,44761
154,36529
154,4973
154,39183
154,37733
154,46723
155,6016
155,31658
155,318
155,46578
155,5618
155,2959
155,3000
155,1136
155,7438
155,44191
162,1274
162,3000
162,26662
162,741
162,6283
162,27660
162,7099
162,31878
162,5971
162,44191
163,296
163,2571
163,7438
163,44191
163,4993
163,50
163,48516
163,7153
163,49272
163,1089
168,46578
168,3949
168,5618
168,68157
168,4973
168,541
168,48394
168,2997
168,61240
168,27773
175,1259
175,527
175,1704
175,3360
175,30749
175,2268
175,2918
175,1207
175,7153
175,1213
182,59315
182,51662
182,53972
182,59369
182,79132
182,36529
182,44191
182,68319
182,7438
182,79695
189,2571
189,4306
189,7153
189,2959
189,33794
189,58559
189,1210
189,6539
189,6377
189,5618
190,6016
190,3949
190,46976
190,8873
190,4226
190,5225
190,8784
190,7147
190,33166
190,5995
201,4973
201,6016
201,778
201,293
201,2858
201,3949
201,306
201,3083
201,5147
201,2068
204,4993
204,2571
204,318
204,7153
204,6874
204,1270
204,593
204,7438
204,5952
204,4973
205,46976
205,56367
205,47610
205,8949
205,44195
205,34162
205,33166
205,8784
205,7361
205,45720
206,33679
206,4025
206,7293
206,4718
206,1917
206,145
206,2424
206,3717
206,8972
206,8529
208,109374
208,106100
208,96488
208,100556
208,107141
208,103980
208,106782
208,112556
208,105211
208,99114
209,98961
209,84392
209,64614
209,47099
209,80489
209,63082
209,54997
209,55290
209,97923
209,80463
211,1
211,1196
211,588
211,480
211,1291
211,1136
211,47
211,1198
211,1961
211,1704
213,91529
213,1704
213,3147
213,89745
213,8961
213,1197
213,6377
213,5418
213,6539
213,79132
215,95088
215,101
215,4027
215,94959
215,8641
215,93855
215,1073
215,1220
215,69122
215,2716
218,46578
218,54997
218,38061
218,47610
218,58998
218,48774
218,46970
218,54286
218,59315
218,8807
220,608
220,32
220,55820
220,1732
220,1206
220,48774
220,3683
220,50
220,223
220,27904
232,2918
232,4027
232,1704
232,1206
232,111
232,1732
232,1089
232,1387
232,2916
232,1923
237,780
237,588
237,2716
237,1265
237,3793
237,10
237,1197
237,1721
237,500
237,1527
239,6794
239,5389
239,5109
239,2059
239,7374
239,1030
239,8372
239,5419
239,1702
239,169
241,29
241,27156
241,7118
241,680
241,8253
241,2810
241,1175
241,8477
241,57502
241,2288
248,92259
248,63082
248,3949
248,48780
248,64614
248,81845
248,593
248,4995
248,858
248,5608
252,858
252,1136
252,1234
252,913
252,750
252,912
252,527
252,58559
252,2186
252,1262
254,293
254,4235
254,1732
254,3000
254,55820
254,48394
254,6711
254,608
254,527
254,48516
258,58025
258,6383
258,46335
258,58655
258,45672
258,55245
258,64030
258,6548
258,53993
258,51077
264,8961
264,5618
264,1907
264,37729
264,6936
264,4016
264,33794
264,1282
264,46578
264,2005
266,7669
266,68954
266,8961
266,76093
266,31658
266,356
266,4973
266,54286
266,1136
266,4306
271,99114
271,109374
271,318
271,4993
271,5618
271,112852
271,92259
271,1197
271,111759
271,1196
279,68954
279,1688
279,7669
279,2059
279,70334
279,2080
279,74282
279,6377
279,8961
279,3594
284,293
284,6016
284,1227
284,6
284,608
284,48516
284,2542
284,27773
284,3362
284,858
285,2005
285,2161
285,2193
285,673
285,1544
285,5218
285,1569
285,2080
285,1907
285,4025
294,1373
294,3256
294,1367
294,2949
294,2947
294,2161
294,2826
294,1129
294,1027
294,2405
304,99114
304,7153
304,593
304,7361
304,527
304,2028
304,2858
304,91529
304,68954
304,1136
312,49272
312,6548
312,6059
312,8972
312,4901
312,4344
312,4448
312,145
312,5418
312,5574
313,2706
313,1517
313,2959
313,33794
313,34162
313,35836
313,2502
313,32587
313,6874
313,6377
316,3527
316,44191
316,1274
316,32
316,741
316,33794
316,589
316,27660
316,3793
316,59315
317,54503
317,1704
317,1213
317,1089
317,3147
317,34162
317,55765
317,48516
317,1220
317,4027
318,108979
318,79702
318,70286
318,99114
318,91529
318,108932
318,106696
318,110102
318,85179
318,68954
337,51412
337,67923
337,60072
337,58103
337,62081
337,60126
337,57951
337,79293
337,54997
337,58025
340,6016
340,47610
340,46578
340,30749
340,56367
340,64614
340,48738
340,6870
340,3275
340,40819
342,296
342,79132
342,91529
342,293
342,109374
342,7361
342,94959
342,4226
342,3949
342,1206
348,97673
348,96488
348,94959
348,109374
348,111235
348,106438
348,102588
348,89090
348,107141
348,97870
351,46578
351,296
351,31658
351,6016
351,33794
351,5618
351,6711
351,318
351,6620
351,32
359,85020
359,79695
359,84601
359,87520
359,86190
359,83613
359,91485
359,88140
359,96737
359,82459
361,4306
361,47
361,1196
361,356
361,1198
361,1270
361,150
361,589
361,58559
361,59315
367,58295
367,42718
367,79695
367,51935
367,53972
367,56156
367,68791
367,55765
367,64614
367,55290
370,115569
370,105504
370,109374
370,111362
370,91529
370,112852
